episode,t,x,y,zone_id,action,switched,t_switch,sigma_0,sigma_1,sigma_2,sigma2_0,sigma2_1,sigma2_2,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,g_9,g_10,g_11
0,11,7,4,1,3,0,80,0.6,0.3,0.05,0.05,0.3,0.6,0.43200308084487915,0.08975765109062195,0.11763674020767212,0.049857497215270996,0.5285453200340271,0.10911372303962708,-0.18126410245895386,-0.4525623321533203,-0.39045968651771545,-0.5308630466461182,0.6060264706611633,0.8299331665039062,0.6749117970466614,-0.2562744915485382,0.5738685727119446,-0.11873762309551239,0.6198438405990601,-0.4781619608402252,0.9383870363235474,0.3807133138179779,-0.8642590045928955,0.8546820878982544,0.05927880108356476,-0.4869881272315979,0.18389587104320526,0.0400804840028286,-0.6900210380554199,-0.60254967212677,-1.3494244813919067,0.7575742602348328,1.070915699005127,1.4971235990524292,1.4426729679107666,-0.97137051820755,0.920103132724762,-1.5144835710525513,-1.0952588319778442,0.9202066659927368,0.3772541284561157,-0.9867186546325684,-0.5242422223091125,0.008152753114700317,0.057776130735874176,-0.05842956155538559,-0.49672460556030273,-0.028461704030632973,0.4356239438056946,-0.47980228066444397,0.5123552083969116,1.0524344444274902,-0.20783346891403198,-0.12207456678152084
0,12,8,4,1,3,0,80,0.6,0.3,0.05,0.05,0.3,0.6,0.05015024542808533,-0.31296712160110474,0.013568975031375885,-0.3199561834335327,0.13123585283756256,0.5785177946090698,0.002733752131462097,0.13417798280715942,-0.9908331632614136,-0.9222545027732849,0.39954838156700134,0.6060127019882202,0.8784942626953125,-0.9831632971763611,0.9615615010261536,-0.9129583239555359,-0.39300355315208435,-0.9475147128105164,0.9782470464706421,0.5683422088623047,-0.9806265234947205,0.36533457040786743,0.9769161939620972,-0.9342988133430481,0.739983320236206,0.9589928984642029,-0.2973383963108063,-0.22208601236343384,-1.5437016487121582,0.15520842373371124,0.6317794919013977,1.7670494318008423,0.6847769618034363,-1.6779792308807373,1.1144959926605225,-1.1134121417999268,-1.3868942260742188,0.08960102498531342,0.6610376238822937,-0.5615138411521912,-0.5651471614837646,0.013516535982489586,0.0670272633433342,-0.02330263890326023,-0.5468398332595825,-0.022727183997631073,0.4599873721599579,-0.516313910484314,0.5240047574043274,1.0859638452529907,-0.21508517861366272,-0.11738477647304535
0,13,9,4,1,3,0,80,0.6,0.3,0.05,0.05,0.3,0.6,0.3769056797027588,-0.5135935544967651,0.12543155252933502,-0.0939822569489479,0.3265864849090576,-0.5003443956375122,-0.1407461166381836,0.05221746861934662,0.7000139355659485,0.25519582629203796,-0.1910240799188614,-0.24026471376419067,-0.5898655652999878,0.6713537573814392,-0.3814232051372528,0.6733410358428955,-0.31550633907318115,0.41620153188705444,-0.35212594270706177,-0.2931148409843445,0.5666404366493225,0.2648138999938965,-0.23146772384643555,0.05348002165555954,-0.8280383348464966,-1.1044944524765015,-0.8285768032073975,0.741923451423645,-1.0861268043518066,0.2746260464191437,1.8585799932479858,0.595497190952301,0.9310778379440308,1.3125513792037964,0.7517273426055908,-1.9434152841567993,-0.7277710437774658,0.4791656732559204,-0.17830319702625275,-0.2484232485294342,-0.5452931523323059,0.013089179992675781,0.060566194355487823,-0.04371199756860733,-0.5513932108879089,-0.0325414277613163,0.4836808145046234,-0.5514812469482422,0.5650779008865356,1.1360540390014648,-0.2453465759754181,-0.12979398667812347
0,14,10,4,2,3,0,80,0.6,0.3,0.05,0.05,0.3,0.6,0.48322200775146484,0.08007945120334625,0.19455695152282715,-0.05012255162000656,0.4331825375556946,-0.011753566563129425,-0.28149843215942383,-0.6537023186683655,-0.40546324849128723,-0.5080663561820984,0.4445174038410187,0.7475581765174866,0.5939292311668396,-0.3151758015155792,0.6269996762275696,-0.16510918736457825,0.4455175995826721,-0.46438702940940857,0.8965207934379578,0.38551241159439087,-0.8305859565734863,0.7615724802017212,0.26743263006210327,-0.4697061777114868,0.22324568033218384,0.17303891479969025,-0.6427583694458008,-0.37910738587379456,-1.3034776449203491,0.6267603635787964,1.12458336353302,1.551013708114624,1.259268879890442,-0.9325610995292664,0.9879572987556458,-1.73989737033844,-1.2903056144714355,0.752261221408844,0.4323427975177765,-0.8423645496368408,-0.5793151259422302,0.021100560203194618,0.07692644000053406,-0.05445802956819534,-0.5897173881530762,-0.028510160744190216,0.5027726888656616,-0.5755966305732727,0.5862432718276978,1.1677004098892212,-0.24742628633975983,-0.12642015516757965
0,15,11,4,2,3,0,80,0.6,0.3,0.05,0.05,0.3,0.6,-0.5023365020751953,-0.14644894003868103,0.07963289320468903,-0.11165989935398102,0.07797591388225555,0.15604031085968018,0.08724573254585266,-0.14706218242645264,-0.7502281069755554,-0.4295941889286041,-0.4029184579849243,-0.5449668169021606,-0.15728342533111572,-0.6734572649002075,0.6182083487510681,-0.31216707825660706,-0.7886037230491638,-0.48428869247436523,-0.05935110151767731,-0.046805281192064285,-0.320991575717926,-0.4026679992675781,0.8969170451164246,-0.6779618859291077,-0.2656422555446625,0.06060350313782692,-0.3099646270275116,0.7427425980567932,-1.608323335647583,-0.38028132915496826,1.4019925594329834,1.2398276329040527,0.8523585796356201,-0.3847879469394684,1.7945530414581299,-1.641123652458191,-1.433327078819275,-0.26500460505485535,0.3116473853588104,-0.11527051031589508,-0.5880639553070068,0.02325083129107952,0.07712666690349579,-0.012013383209705353,-0.6261626482009888,-0.0238818172365427,0.5179187655448914,-0.6114462018013,0.5965175628662109,1.1897958517074585,-0.2673497200012207,-0.12307550013065338
0,16,12,4,2,3,0,80,0.6,0.3,0.05,0.05,0.3,0.6,-0.4383555054664612,-0.15030017495155334,-0.05207924172282219,-0.13699810206890106,0.1920037418603897,0.1700621247291565,0.0794171690940857,-0.1305130124092102,-0.8629816174507141,-0.6335185766220093,0.0012928054202347994,0.022130249068140984,0.35653936862945557,-0.7930371165275574,0.7451059818267822,-0.5126622319221497,-0.5071138739585876,-0.6615034937858582,0.6434887051582336,0.16446101665496826,-0.747951865196228,0.031134076416492462,0.8715207576751709,-0.7516905665397644,0.3530540466308594,0.5669378638267517,-0.27268075942993164,0.3076156675815582,-1.6366215944290161,0.012159720994532108,0.9497393369674683,1.5523496866226196,0.8735047578811646,-1.0620442628860474,1.4891486167907715,-1.5988657474517822,-1.5505808591842651,-0.00491914851590991,0.4013272225856781,-0.38012492656707764,-0.611147403717041,0.027152303606271744,0.0816759541630745,0.021856442093849182,-0.6596742272377014,-0.019253049045801163,0.5333582758903503,-0.6397576928138733,0.6047836542129517,1.207198143005371,-0.2779841423034668,-0.11934880167245865
0,17,13,4,2,3,0,80,0.6,0.3,0.05,0.05,0.3,0.6,-0.4393619894981384,-0.07729368656873703,-0.0415474995970726,-0.10177621245384216,-0.010228816419839859,0.24552705883979797,0.04222230613231659,-0.01911628246307373,-0.864212691783905,-0.49475252628326416,-0.41900238394737244,-0.550437331199646,-0.006623264402151108,-0.8281033039093018,0.745161235332489,-0.535010576248169,-0.8125573992729187,-0.6514313220977783,0.003030918538570404,0.07391311228275299,-0.4754297435283661,-0.4951758086681366,0.9391533732414246,-0.7471572756767273,-0.11125605553388596,0.23064817488193512,-0.10412073880434036,0.5571599006652832,-1.6248122453689575,-0.47280681133270264,1.2097450494766235,1.4150646924972534,0.8651489615440369,-0.8244373798370361,1.7816962003707886,-1.5627542734146118,-1.4200600385665894,-0.1570434868335724,0.38645926117897034,-0.16863030195236206,-0.620907187461853,0.02915932983160019,0.08174479007720947,0.060406558215618134,-0.6900004148483276,-0.01412922702729702,0.5455016493797302,-0.6691452860832214,0.6107024550437927,1.2230312824249268,-0.2936750054359436,-0.11541016399860382
0,18,14,4,2,3,0,80,0.6,0.3,0.05,0.05,0.3,0.6,-0.44612765312194824,-0.11387845873832703,0.06657303869724274,-0.13798268139362335,0.14367905259132385,0.13739892840385437,0.14000263810157776,-0.004799239337444305,-0.6743586659431458,-0.4254715144634247,-0.27703943848609924,-0.4447656273841858,-0.1110912635922432,-0.5875780582427979,0.5463082790374756,-0.22391560673713684,-0.7061237692832947,-0.4254506230354309,0.06334343552589417,-0.059356942772865295,-0.3336390554904938,-0.23335307836532593,0.8371116518974304,-0.6521022319793701,-0.22741486132144928,-0.034591905772686005,-0.28380417823791504,0.7792661786079407,-1.550336241722107,-0.2922913432121277,1.4208729267120361,1.1933001279830933,0.8882163763046265,-0.3470318913459778,1.637311339378357,-1.8408011198043823,-1.4720131158828735,-0.13636630773544312,0.36564260721206665,-0.0999588891863823,-0.6272283792495728,0.03108825534582138,0.08183887600898743,0.0924808531999588,-0.7159223556518555,-0.010819754563272,0.556549072265625,-0.695344090461731,0.618992805480957,1.2373453378677368,-0.3094500005245209,-0.11295607686042786
0,19,14,4,2,3,0,80,0.6,0.3,0.05,0.05,0.3,0.6,-0.37006479501724243,-0.00936734676361084,-0.056431300938129425,-0.10087551176548004,0.022395465523004532,0.19298303127288818,0.013960964977741241,-0.08711479604244232,-0.8190065026283264,-0.4579746127128601,-0.35670822858810425,-0.4561912417411804,0.028870051726698875,-0.7830598950386047,0.7169114947319031,-0.48844024538993835,-0.7432203888893127,-0.6043150424957275,0.044236596673727036,0.10293224453926086,-0.4809003174304962,-0.402348130941391,0.9101409316062927,-0.7067793011665344,-0.09509911388158798,0.19759896397590637,-0.10303287208080292,0.5648849010467529,-1.5516443252563477,-0.4343850612640381,1.256758213043213,1.4082800149917603,0.8677042722702026,-0.8238411545753479,1.6548230648040771,-1.7139651775360107,-1.4577126502990723,-0.037232015281915665,0.4289097487926483,-0.16204768419265747,-0.6359953880310059,0.03290312737226486,0.08175091445446014,0.12549588084220886,-0.7403544187545776,-0.006352286320179701,0.5662367343902588,-0.7192179560661316,0.6234912872314453,1.2489345073699951,-0.32229119539260864,-0.10962381213903427
0,20,14,4,2,3,0,80,0.6,0.3,0.05,0.05,0.3,0.6,-0.37123987078666687,-0.1410098671913147,-0.040529634803533554,0.03455980867147446,-0.01949433609843254,0.15063118934631348,-0.0051838308572769165,-0.06766630709171295,-0.636881411075592,-0.19091731309890747,-0.548933207988739,-0.6901376843452454,-0.37973424792289734,-0.5919229984283447,0.5224013924598694,-0.21775498986244202,-0.8359147906303406,-0.4069775938987732,-0.48598670959472656,-0.0917789414525032,0.03418029099702835,-0.5648201107978821,0.8875686526298523,-0.5968261361122131,-0.5844958424568176,-0.2422783076763153,-0.2536523938179016,0.8291283249855042,-1.2875964641571045,-0.616066575050354,1.6825553178787231,1.056570291519165,0.8654369711875916,-0.2303151935338974,1.596933364868164,-1.8847357034683228,-1.3167322874069214,-0.1143222376704216,0.4377523362636566,0.06181757524609566,-0.6321873664855957,0.03261459246277809,0.07842632383108139,0.15950044989585876,-0.7613435387611389,-0.003268105210736394,0.5730608105659485,-0.7426210045814514,0.6282668709754944,1.2607563734054565,-0.33939915895462036,-0.10757981240749359
0,21,14,4,2,3,0,80,0.6,0.3,0.05,0.05,0.3,0.6,-0.47061845660209656,-0.1290145367383957,-0.10484078526496887,-0.05167868733406067,-0.009629737585783005,0.20224417746067047,-0.0821571797132492,-0.1721850484609604,-0.8993555903434753,-0.5151683688163757,-0.4387904405593872,-0.4879859387874603,0.07612515985965729,-0.866629421710968,0.7975054979324341,-0.6075283288955688,-0.8089357614517212,-0.7092186212539673,0.08715467154979706,0.15908434987068176,-0.554008960723877,-0.5179375410079956,0.9521945118904114,-0.757998526096344,-0.010346384719014168,0.32633960247039795,0.0051877438090741634,0.5432935953140259,-1.522402048110962,-0.5165606141090393,1.1264656782150269,1.4760977029800415,0.8114982843399048,-1.0652307271957397,1.6477736234664917,-1.660494089126587,-1.4372947216033936,-0.033954836428165436,0.4439028799533844,-0.1342751830816269,-0.6411874294281006,0.03415018320083618,0.07803110778331757,0.18929030001163483,-0.7812464237213135,0.001351023092865944,0.5810470581054688,-0.7622924447059631,0.6300770044326782,1.268559455871582,-0.34958547353744507,-0.10392425209283829
0,22,14,4,2,3,0,80,0.6,0.3,0.05,0.05,0.3,0.6,-0.416242390871048,-0.10211193561553955,-0.07213696837425232,-0.07201895862817764,-0.03346973657608032,0.15843507647514343,0.08787446469068527,-0.07678654789924622,-0.7232939004898071,-0.32005542516708374,-0.44887614250183105,-0.6122756004333496,-0.22283293306827545,-0.6791467666625977,0.5913814902305603,-0.3382376432418823,-0.7961570620536804,-0.4695526361465454,-0.3009762763977051,-0.049285680055618286,-0.20190340280532837,-0.5115087032318115,0.8892999291419983,-0.6520199775695801,-0.3867788314819336,-0.12025317549705505,-0.1226535513997078,0.7221739888191223,-1.407897710800171,-0.5865504741668701,1.5149542093276978,1.1936784982681274,0.8890009522438049,-0.49322420358657837,1.622605562210083,-1.8663244247436523,-1.3680124282836914,-0.05919462442398071,0.4594111740589142,0.009064623154699802,-0.6410925388336182,0.034481585025787354,0.0757141262292862,0.21760907769203186,-0.7985543608665466,0.004795556887984276,0.5868946313858032,-0.7811076045036316,0.6334564089775085,1.276441216468811,-0.36267831921577454,-0.10164834558963776
0,23,14,4,2,3,0,80,0.6,0.3,0.05,0.05,0.3,0.6,-0.3718012571334839,0.013197429478168488,-0.01596507802605629,-0.028236165642738342,0.07272811233997345,0.23616193234920502,0.10260563343763351,-0.13686302304267883,-0.6973938345909119,-0.3871793746948242,-0.2638445794582367,-0.3836890459060669,-0.030841819941997528,-0.6344500184059143,0.5954115986824036,-0.30894434452056885,-0.6569185853004456,-0.47529515624046326,0.048570066690444946,0.02218148484826088,-0.40094682574272156,-0.2339622974395752,0.8384875059127808,-0.6469702124595642,-0.17655117809772491,-0.0035688753705471754,-0.14040307700634003,0.6555192470550537,-1.4485020637512207,-0.360118567943573,1.3927018642425537,1.2763620615005493,0.9101646542549133,-0.6161888837814331,1.500629186630249,-1.9632493257522583,-1.4711138010025024,0.08193449676036835,0.4588289260864258,-0.0964449793100357,-0.6462053656578064,0.0359342098236084,0.07530064880847931,0.23996342718601227,-0.8140005469322205,0.00772860087454319,0.5931943655014038,-0.7970269322395325,0.6373459100723267,1.2827094793319702,-0.3721943199634552,-0.09954481571912766
0,24,14,4,2,3,0,80,0.6,0.3,0.05,0.05,0.3,0.6,-0.4138500392436981,-0.04381249099969864,-0.056022293865680695,-0.1650066077709198,0.01849954016506672,0.25441962480545044,0.07864046096801758,-0.10528846830129623,-0.8966732025146484,-0.6068768501281738,-0.2355896234512329,-0.3145288825035095,0.2434251755475998,-0.8621140718460083,0.7943524718284607,-0.6170633435249329,-0.7130680084228516,-0.7047078609466553,0.37306755781173706,0.16534274816513062,-0.6892616748809814,-0.3220406770706177,0.9322992563247681,-0.7779896855354309,0.18527711927890778,0.39490166306495667,0.05084366351366043,0.47966641187667847,-1.5429368019104004,-0.3617434501647949,0.9894182085990906,1.5049899816513062,0.8337700366973877,-1.2037266492843628,1.5380431413650513,-1.6989412307739258,-1.4709489345550537,0.05152852088212967,0.4488840103149414,-0.19902576506137848,-0.6575947403907776,0.03766254708170891,0.07595603168010712,0.26251929998397827,-0.8280707597732544,0.011719776317477226,0.5995706915855408,-0.81083744764328,0.6379619836807251,1.2862491607666016,-0.3782092034816742,-0.096331387758255
0,25,14,4,2,3,0,80,0.6,0.3,0.05,0.05,0.3,0.6,-0.4586402475833893,-0.054963961243629456,-0.01935598999261856,-0.04211418703198433,-0.026067018508911133,0.02162158489227295,0.01590557023882866,-0.12730972468852997,-0.40430575609207153,-0.01826617680490017,-0.6252214908599854,-0.7742589712142944,-0.5453835725784302,-0.3932666778564453,0.36117345094680786,-0.04413292929530144,-0.8449605107307434,-0.17408326268196106,-0.7212950587272644,-0.1780056357383728,0.32085269689559937,-0.6439008116722107,0.8330111503601074,-0.47663137316703796,-0.7780944108963013,-0.49330878257751465,-0.2616460919380188,0.9787023067474365,-1.0806905031204224,-0.6502737402915955,1.861380934715271,0.8324247598648071,0.818351149559021,0.07535552233457565,1.4278532266616821,-2.0139453411102295,-1.2019593715667725,0.00032938687945716083,0.3655451834201813,0.11997508257627487,-0.6465203762054443,0.03557046130299568,0.07027565687894821,0.2873099148273468,-0.8392517566680908,0.01323103066533804,0.6021660566329956,-0.8258554339408875,0.6413723826408386,1.2935872077941895,-0.3922915756702423,-0.09602714329957962
